ts,consumer1,consumer2
2019-02-01 0:18:40,268.5253525,269.8869286
2019-02-01 0:18:50,347.6202501,309.6867295
2019-02-01 0:19:00,330.3410126,300.7995539
2019-02-01 0:19:10,301.9045748,297.8203187
2019-02-01 0:19:20,322.5506515,301.3636891
2019-02-01 0:19:30,297.4975114,285.9857309
2019-02-01 0:19:40,294.5509791,261.3674859
2019-02-01 0:19:50,299.1905509,288.5132432
2019-02-01 0:20:00,294.7485682,296.8702313
2019-02-01 0:20:10,310.7724334,303.0987754
2019-02-01 0:20:20,297.066904,281.473789
2019-02-01 0:20:30,283.6577758,292.6995276
2019-02-01 0:20:40,292.2244299,318.2579312
2019-02-01 0:20:50,289.3301198,315.1057747
2019-02-01 0:21:00,272.9706979,298.0702407
2019-02-01 0:21:10,293.822779,298.1421767
2019-02-01 0:21:20,279.7772244,304.9390962
2019-02-01 0:21:30,277.0061942,282.515281
2019-02-01 0:21:40,305.5871294,304.4939384
2019-02-01 0:21:50,268.5913448,289.9382706
2019-02-01 0:22:00,265.9311025,287.0665993
2019-02-01 0:22:10,265.8953407,262.1640333
2019-02-01 0:22:20,277.0451399,276.4132442
2019-02-01 0:22:30,274.3011658,252.6190095
2019-02-01 0:22:40,297.4944281,323.9205521
2019-02-01 0:22:50,309.349317,316.6257302
2019-02-01 0:23:00,299.3374423,329.4548142
2019-02-01 0:23:10,292.759609,326.1917495
2019-02-01 0:23:20,291.6575716,291.5117724
2019-02-01 0:23:30,314.2040308,297.8609273
2019-02-01 0:23:40,287.1566812,294.9107803
2019-02-01 0:23:50,296.2209325,281.5428734
2019-02-01 0:24:00,290.0288615,296.764294
2019-02-01 0:24:10,287.156285,303.6394294
2019-02-01 0:24:20,284.3121591,277.5015008
2019-02-01 0:24:30,307.321272,317.6409828
2019-02-01 0:24:40,314.6041713,317.6556743
2019-02-01 0:24:50,297.0224732,314.5094667
2019-02-01 0:25:00,306.1285026,307.2119262
2019-02-01 0:25:10,282.5881284,311.1390585
2019-02-01 0:25:20,294.9379665,304.7958297
2019-02-01 0:25:30,292.016763,301.7769893
2019-02-01 0:25:40,289.1244918,293.1297816
2019-02-01 0:25:50,282.0346054,278.8639038
2019-02-01 0:26:00,279.241201,276.1019035
2019-02-01 0:26:10,265.0979618,273.3672589
2019-02-01 0:26:20,310.1622215,322.237047
2019-02-01 0:26:30,303.0530931,311.1320564
2019-02-01 0:26:40,300.0515091,299.4951015
2019-02-01 0:26:50,308.6118536,330.2836255
2019-02-01 0:27:00,300.0792483,291.8194981
2019-02-01 0:27:10,297.1071168,288.5088447
2019-02-01 0:27:20,291.857263,307.8942191
2019-02-01 0:27:30,297.3646156,291.6487261
2019-02-01 0:27:40,276.7220369,306.3235087
2019-02-01 0:27:50,273.9812443,303.2895284
2019-02-01 0:28:00,284.8991348,298.4372497
2019-02-01 0:28:10,305.2967283,323.2670652
2019-02-01 0:28:20,302.2729157,295.4395327
2019-02-01 0:28:30,288.8850311,292.9299398
2019-02-01 0:28:40,314.332722,306.4415428
2019-02-01 0:28:50,293.2126852,308.5601117
2019-02-01 0:29:00,278.4902797,281.9985834
