ts,consumer1,consumer2
2019-02-01 00:18:40,134.2626763,134.9434643
2019-02-01 00:18:50,173.8101251,154.8433648
2019-02-01 00:19:00,165.1705063,150.399777
2019-02-01 00:19:10,150.9522874,148.9101594
2019-02-01 00:19:20,161.2753258,150.6818446
2019-02-01 00:19:30,148.7487557,142.9928655
2019-02-01 00:19:40,147.2754896,130.683743
2019-02-01 00:19:50,149.5952755,144.2566216
2019-02-01 00:20:00,147.3742841,148.4351157
2019-02-01 00:20:10,155.3862167,151.5493877
2019-02-01 00:20:20,148.533452,140.7368945
2019-02-01 00:20:30,141.8288879,146.3497638
2019-02-01 00:20:40,146.112215,159.1289656
2019-02-01 00:20:50,144.6650599,157.5528874
2019-02-01 00:21:00,136.485349,149.0351204
2019-02-01 00:21:10,146.9113895,149.0710884
2019-02-01 00:21:20,139.8886122,152.4695481
2019-02-01 00:21:30,138.5030971,141.2576405
2019-02-01 00:21:40,152.7935647,152.2469692
2019-02-01 00:21:50,134.2956724,144.9691353
2019-02-01 00:22:00,132.9655513,143.5332997
2019-02-01 00:22:10,132.9476704,131.0820167
2019-02-01 00:22:20,138.52257,138.2066221
2019-02-01 00:22:30,137.1505829,126.3095048
2019-02-01 00:22:40,148.7472141,161.9602761
2019-02-01 00:22:50,154.6746585,158.3128651
2019-02-01 00:23:00,149.6687212,164.7274071
2019-02-01 00:23:10,146.3798045,163.0958748
2019-02-01 00:23:20,145.8287858,145.7558862
2019-02-01 00:23:30,157.1020154,148.9304637
2019-02-01 00:23:40,143.5783406,147.4553902
2019-02-01 00:23:50,148.1104663,140.7714367
2019-02-01 00:24:00,145.0144308,148.382147
2019-02-01 00:24:10,143.5781425,151.8197147
2019-02-01 00:24:20,142.1560796,138.7507504
2019-02-01 00:24:30,153.660636,158.8204914
2019-02-01 00:24:40,157.3020857,158.8278372
2019-02-01 00:24:50,148.5112366,157.2547334
2019-02-01 00:25:00,153.0642513,153.6059631
2019-02-01 00:25:10,141.2940642,155.5695293
2019-02-01 00:25:20,147.4689833,152.3979149
