ts,consumer1,consumer2
2019-02-01 00:00:00,478.4808798,503.5193535
2019-02-01 00:00:10,473.7419364,482.9657949
2019-02-01 00:00:20,473.7639969,490.810881
2019-02-01 00:00:30,480.3376311,490.8337353
2019-02-01 00:00:40,462.2620775,485.9724444
2019-02-01 00:00:50,450.5863584,481.1592995
2019-02-01 00:01:00,463.1569815,517.7030172
2019-02-01 00:01:10,458.5698024,480.145911
2019-02-01 00:01:20,435.9727233,491.524994
2019-02-01 00:01:30,432.1724757,514.1889276
2019-02-01 00:01:40,425.5062453,466.2134001
2019-02-01 00:01:50,393.4444488,433.1877911
2019-02-01 00:02:00,427.1199665,508.8455126
2019-02-01 00:02:10,445.03052,469.716941
2019-02-01 00:02:20,440.6228615,465.0647838
2019-02-01 00:02:30,440.6433672,484.002264
2019-02-01 00:02:40,440.6638731,475.8410202
2019-02-01 00:02:50,445.1133677,487.9970954
2019-02-01 00:03:00,440.7048848,483.1638843
2019-02-01 00:03:10,432.9688122,459.147243
2019-02-01 00:03:20,465.5387786,493.0775987
2019-02-01 00:03:30,446.4979574,450.6325502
2019-02-01 00:03:40,403.638179,411.8412506
2019-02-01 00:03:50,520.5453585,533.1712508
2019-02-01 00:04:00,475.7358305,514.0006608
2019-02-01 00:04:10,471.02405,508.9098981
2019-02-01 00:04:20,473.8866014,480.9410199
2019-02-01 00:04:30,469.140035,484.1611508
2019-02-01 00:04:40,464.4935775,463.4776866
2019-02-01 00:04:50,445.7599955,496.1684487
2019-02-01 00:05:00,445.7807259,508.4593062
2019-02-01 00:05:10,450.6439409,496.2145982
2019-02-01 00:05:20,446.1806687,491.2999845
2019-02-01 00:05:30,426.0975348,491.3228297
2019-02-01 00:05:40,463.984277,466.3977528
2019-02-01 00:05:50,459.3888764,461.7784485
2019-02-01 00:06:00,407.4845532,439.9874132
2019-02-01 00:06:10,441.8456946,469.1772203
2019-02-01 00:06:20,441.1252415,457.2474054
2019-02-01 00:06:30,429.4809045,452.7187242
2019-02-01 00:06:40,410.7359606,461.8857956
2019-02-01 00:06:50,406.9453575,457.3111727
2019-02-01 00:07:00,402.3627711,452.7818571
2019-02-01 00:07:10,402.6589179,452.8029014
2019-02-01 00:07:20,402.6776318,470.0862648
2019-02-01 00:07:30,398.6894166,431.0759481
2019-02-01 00:07:40,483.4098036,485.5178393
2019-02-01 00:07:50,463.791255,497.7290945
2019-02-01 00:08:00,452.4626004,485.5629624
2019-02-01 00:08:10,447.9812994,480.7538273
2019-02-01 00:08:20,443.5443813,475.9923219
2019-02-01 00:08:30,463.7561102,508.3064816
2019-02-01 00:08:40,459.1629524,464.5504712
2019-02-01 00:08:50,436.3392941,467.6363811
2019-02-01 00:09:00,469.365668,485.3482668
2019-02-01 00:09:10,472.5873566,465.21252
2019-02-01 00:09:20,432.2238093,460.6049337
