line_name;from_bus;to_bus;length;std_type
LV_Line_0-1;Bus_0;Bus_1;0.5;94-AL1/15-ST1A 0.4
LV_Line_1-2;Bus_1;Bus_2;0.3;94-AL1/15-ST1A 0.4
